step,answer,evidence,format,total,total_std,zero_std,finish,search,search_rate,ev_f1,ev_nz,kl
74,0.375,0.2188,1.0,0.5844,0.4999,0.5,1.0,0.0,0.0,0.2188,1.0,0.1029
75,0.09375,0.199,0.9688,0.2901,0.4154,0.375,0.9688,0.0,0.0,0.199,0.9688,0.03313
76,0.1562,0.2538,1.0,0.3832,0.4652,0.25,1.0,0.0,0.0,0.2538,1.0,0.04955
77,0.4062,0.2917,1.0,0.6521,0.6125,0.375,1.0,0.0,0.0,0.2917,1.0,0.04085
78,0.3125,0.3344,0.9688,0.5766,0.5996,0.375,0.9688,0.0,0.0,0.3344,0.9688,0.04467
79,0.125,0.2886,1.0,0.3693,0.4767,0.625,1.0,0.0,0.0,0.2886,1.0,0.04538
80,0.3125,0.5385,1.0,0.6818,0.5666,0.375,1.0,0.0,0.0,0.5385,1.0,0.036
81,0.3125,0.1771,1.0,0.501,0.5019,0.375,1.0,0.0,0.0,0.1771,1.0,0.03979
82,0.25,0.3729,0.9688,0.5333,0.5999,0.25,0.9688,0.0,0.0,0.3729,0.9688,0.0274
83,0.0625,0.301,1.0,0.313,0.3409,0.625,1.0,0.0,0.0,0.301,1.0,0.02925
84,0.125,0.2125,1.0,0.3313,0.3561,0.25,1.0,0.0,0.0,0.2125,1.0,0.04292
85,0.125,0.4552,0.9688,0.4495,0.4668,0.875,0.9688,0.0,0.0,0.4552,1.0,0.02466
86,0.03125,0.2188,1.0,0.2406,0.2134,0.375,1.0,0.0,0.0,0.2188,1.0,0.02746
87,0.1875,0.2771,0.9688,0.4229,0.5191,0.375,0.9688,0.0,0.0,0.2771,0.9688,0.03083
88,0.3438,0.4054,1.0,0.6464,0.667,0.625,1.0,0.0,0.0,0.4054,1.0,0.02694
89,0.03125,0.07604,1.0,0.1693,0.1851,0.625,1.0,0.0,0.0,0.07604,1.0,0.02765
90,0.0,0.1146,1.0,0.1573,0.1009,0.625,1.0,0.0,0.0,0.1146,1.0,0.04602
91,0.2188,0.1833,0.9688,0.4073,0.4453,0.375,0.9688,0.0,0.0,0.1833,0.9375,0.02725
92,0.1875,0.3245,0.9375,0.4435,0.4744,0.25,0.9375,0.0,0.0,0.3245,0.9688,0.03315
93,0.2812,0.4558,1.0,0.6092,0.5838,0.5,1.0,0.0,0.0,0.4558,1.0,0.03958
94,0.3438,0.1031,0.9688,0.4922,0.4835,0.375,0.9688,0.0,0.0,0.1031,1.0,0.03648
95,0.0,0.1875,1.0,0.1937,0.174,0.625,1.0,0.0,0.0,0.1875,1.0,0.03271
96,0.25,0.2,1.0,0.45,0.5693,0.5,1.0,0.0,0.0,0.2,1.0,0.04595
97,0.2188,0.2031,1.0,0.4203,0.5009,0.75,1.0,0.0,0.0,0.2031,1.0,0.04572
98,0.2812,0.2589,1.0,0.5107,0.5139,0.25,1.0,0.0,0.0,0.2589,1.0,0.06684
99,0.09375,0.3457,0.9375,0.3604,0.3984,0.25,0.9375,0.0,0.0,0.3457,0.9375,0.06916
100,0.375,0.2437,1.0,0.5969,0.4972,0.25,1.0,0.0,0.0,0.2437,1.0,0.07481
101,0.1875,0.3958,1.0,0.4854,0.4393,0.375,1.0,0.0,0.0,0.3958,1.0,0.05562
102,0.0,0.1406,1.0,0.1703,0.1124,0.75,1.0,0.0,0.0,0.1406,1.0,0.04259
103,0.1875,0.3063,1.0,0.4406,0.5152,0.625,1.0,0.0,0.0,0.3063,1.0,0.04157
104,0.125,0.224,0.9688,0.3339,0.49,0.625,0.9688,0.0,0.0,0.224,0.9688,0.06381
105,0.1562,0.2979,0.9062,0.3958,0.4746,0.375,0.9062,0.0,0.0,0.2979,0.9062,0.06461
106,0.25,0.4028,1.0,0.5514,0.5383,0.375,1.0,0.0,0.0,0.4028,1.0,0.1107
107,0.125,0.1183,0.9688,0.281,0.3921,0.5,0.9688,0.0,0.0,0.1183,1.0,0.07882
108,0.2188,0.2095,0.9688,0.4204,0.5177,0.375,0.9688,0.0,0.0,0.2095,0.9688,0.07797
109,0.3438,0.4187,0.9688,0.65,0.6486,0.625,0.9688,0.0,0.0,0.4187,0.9688,0.1677
110,0.0625,0.224,1.0,0.2745,0.2767,0.5,1.0,0.0,0.0,0.224,1.0,0.1202
111,0.375,0.3835,1.0,0.6667,0.663,0.25,1.0,0.0,0.0,0.3835,1.0,0.2423
112,0.09375,0.1958,1.0,0.2917,0.3553,0.75,1.0,0.0,0.0,0.1958,1.0,0.2392
113,0.0,0.174,1.0,0.187,0.1688,0.625,1.0,0.0,0.0,0.174,1.0,0.2431
114,0.1875,0.2667,1.0,0.4208,0.4396,0.25,1.0,0.0,0.0,0.2667,1.0,0.2221
115,0.09375,0.3554,1.0,0.3714,0.4206,0.5,1.0,0.0,0.0,0.3554,1.0,0.2107
116,0.0,0.199,1.0,0.1995,0.1077,0.375,1.0,0.0,0.0,0.199,1.0,0.2122
117,0.1562,0.2052,0.9688,0.3557,0.4101,0.375,0.9688,0.0,0.0,0.2052,0.9688,0.1492
118,0.2812,0.2292,1.0,0.4958,0.4187,0.375,1.0,0.0,0.0,0.2292,1.0,0.2248
119,0.2188,0.2,1.0,0.4188,0.5012,0.5,1.0,0.0,0.0,0.2,1.0,0.2341
120,0.375,0.2385,1.0,0.5943,0.615,0.75,1.0,0.0,0.0,0.2385,1.0,0.164
121,0.25,0.3573,1.0,0.5286,0.5457,0.75,1.0,0.0,0.0,0.3573,1.0,0.2196
122,0.1875,0.4115,1.0,0.4932,0.4584,0.625,1.0,0.0,0.0,0.4115,1.0,0.2329
123,0.25,0.2562,1.0,0.4781,0.5222,0.375,1.0,0.0,0.0,0.2562,1.0,0.2381
124,0.2188,0.3552,1.0,0.4964,0.5525,0.5,1.0,0.0,0.0,0.3552,1.0,0.2105
125,0.25,0.2229,1.0,0.4615,0.4506,0.25,1.0,0.0,0.0,0.2229,1.0,0.2871
126,0.2812,0.2495,1.0,0.506,0.49,0.0,1.0,0.0,0.0,0.2495,1.0,0.2439
127,0.3125,0.3469,1.0,0.5859,0.5363,0.5,1.0,0.0,0.0,0.3469,1.0,0.1651
128,0.3438,0.525,1.0,0.7063,0.6598,0.625,1.0,0.0,0.0,0.525,1.0,0.2775
129,0.2812,0.4062,1.0,0.5844,0.6402,0.625,1.0,0.0,0.0,0.4062,1.0,0.2293
130,0.1875,0.3039,1.0,0.4394,0.3979,0.375,1.0,0.0,0.0,0.3039,1.0,0.2303
131,0.2188,0.3406,1.0,0.4891,0.4969,0.375,1.0,0.0,0.0,0.3406,1.0,0.2269
132,0.2812,0.2417,1.0,0.5021,0.4858,0.375,1.0,0.0,0.0,0.2417,1.0,0.2588
133,0.0625,0.1438,1.0,0.2344,0.2441,0.375,1.0,0.0,0.0,0.1438,1.0,0.2552
134,0.0,0.2235,1.0,0.2118,0.1166,0.375,1.0,0.0,0.0,0.2235,1.0,0.2578
135,0.2812,0.1667,1.0,0.4646,0.498,0.375,1.0,0.0,0.0,0.1667,1.0,0.2296
136,0.0,0.075,1.0,0.1375,0.0875,0.875,1.0,0.0,0.0,0.075,1.0,0.2357
137,0.3125,0.374,0.9688,0.5964,0.6467,0.5,0.9688,0.0,0.0,0.374,0.9688,0.1567
138,0.3438,0.3615,1.0,0.6245,0.6534,0.75,1.0,0.0,0.0,0.3615,1.0,0.3223
139,0.2188,0.1829,1.0,0.4102,0.4584,0.5,1.0,0.0,0.0,0.1829,1.0,0.243
140,0.3438,0.325,1.0,0.6063,0.6213,0.625,1.0,0.0,0.0,0.325,1.0,0.3345
141,0.3438,0.6813,1.0,0.7844,0.5634,0.25,1.0,0.0,0.0,0.6813,1.0,0.2219
142,0.1562,0.3948,1.0,0.4536,0.4741,0.625,1.0,0.0,0.0,0.3948,1.0,0.4019
143,0.1875,0.3312,1.0,0.4531,0.4463,0.25,1.0,0.0,0.0,0.3312,1.0,0.3578
144,0.1562,0.2365,1.0,0.3745,0.4554,0.5,1.0,0.0,0.0,0.2365,1.0,0.3511
145,0.125,0.2289,0.9688,0.3363,0.3569,0.375,0.9688,0.0,0.0,0.2289,0.9688,0.2508
146,0.2188,0.424,1.0,0.5307,0.4769,0.5,1.0,0.0,0.0,0.424,1.0,0.3797
147,0.1875,0.4031,1.0,0.4891,0.5144,0.5,1.0,0.0,0.0,0.4031,1.0,0.3784
148,0.4688,0.3708,1.0,0.7542,0.5917,0.625,1.0,0.0,0.0,0.3708,1.0,0.4255
149,0.25,0.4058,1.0,0.5529,0.5294,0.25,1.0,0.0,0.0,0.4058,1.0,0.3486
150,0.125,0.1887,1.0,0.3193,0.429,0.75,1.0,0.0,0.0,0.1887,1.0,0.4011
151,0.3125,0.4288,1.0,0.6269,0.5939,0.5,1.0,0.0,0.0,0.4288,1.0,0.407
152,0.0625,0.1933,1.0,0.2592,0.2822,0.375,1.0,0.0,0.0,0.1933,1.0,0.3721
153,0.3125,0.3385,1.0,0.5818,0.5355,0.25,1.0,0.0,0.0,0.3385,1.0,0.4098
154,0.2188,0.2417,1.0,0.4396,0.5069,0.25,1.0,0.0,0.0,0.2417,1.0,0.3498
155,0.3438,0.1638,0.9688,0.5225,0.5187,0.375,0.9688,0.0,0.0,0.1638,0.9688,0.2565
156,0.3125,0.3518,1.0,0.5884,0.5913,0.5,1.0,0.0,0.0,0.3518,1.0,0.4229
157,0.2812,0.4219,1.0,0.5922,0.6258,0.625,1.0,0.0,0.0,0.4219,1.0,0.4733
158,0.0625,0.4396,1.0,0.3823,0.3293,0.375,1.0,0.0,0.0,0.4396,1.0,0.467
159,0.0,0.1146,1.0,0.1573,0.1111,0.75,1.0,0.0,0.0,0.1146,1.0,0.4973
160,0.1875,0.2606,0.9688,0.4147,0.4125,0.125,0.9688,0.0,0.0,0.2606,0.9688,0.2982
161,0.4375,0.1927,1.0,0.6339,0.5606,0.5,1.0,0.0,0.0,0.1927,1.0,0.4847
162,0.1562,0.3698,1.0,0.4412,0.4231,0.5,1.0,0.0,0.0,0.3698,1.0,0.4079
163,0.4375,0.4573,1.0,0.7662,0.5368,0.25,1.0,0.0,0.0,0.4573,1.0,0.5187
164,0.0,0.2548,1.0,0.2274,0.1537,0.5,1.0,0.0,0.0,0.2548,1.0,0.4518
165,0.2188,0.2875,1.0,0.4625,0.5689,0.5,1.0,0.0,0.0,0.2875,1.0,0.5187
166,0.375,0.375,1.0,0.6625,0.6894,0.875,1.0,0.0,0.0,0.375,1.0,0.5494
167,0.0625,0.3458,1.0,0.3354,0.2726,0.375,1.0,0.0,0.0,0.3458,1.0,0.5052
168,0.25,0.125,1.0,0.4125,0.5555,1.0,1.0,0.0,0.0,0.125,1.0,0.5532
169,0.3125,0.4844,1.0,0.6547,0.6273,0.75,1.0,0.0,0.0,0.4844,1.0,0.5326
170,0.2188,0.1173,1.0,0.3774,0.4507,0.625,1.0,0.0,0.0,0.1173,1.0,0.5782
171,0.25,0.2823,1.0,0.4911,0.4349,0.5,1.0,0.0,0.0,0.2823,1.0,0.5951
172,0.2188,0.4792,1.0,0.5583,0.4948,0.375,1.0,0.0,0.0,0.4792,1.0,0.5733
173,0.25,0.246,1.0,0.473,0.5366,0.375,1.0,0.0,0.0,0.246,1.0,0.5688
174,0.0625,0.2188,1.0,0.2719,0.2708,0.5,1.0,0.0,0.0,0.2188,1.0,0.6483
175,0.1562,0.2125,1.0,0.3625,0.5329,0.875,1.0,0.0,0.0,0.2125,1.0,0.5921
176,0.2812,0.4448,1.0,0.6036,0.5728,0.5,1.0,0.0,0.0,0.4448,1.0,0.4952
177,0.3125,0.3453,1.0,0.5852,0.6076,0.375,1.0,0.0,0.0,0.3453,1.0,0.4405
178,0.1562,0.3,1.0,0.4063,0.3352,0.5,1.0,0.0,0.0,0.3,1.0,0.5618
179,0.3438,0.2281,1.0,0.5578,0.5309,0.625,1.0,0.0,0.0,0.2281,1.0,0.4805
180,0.09375,0.1208,1.0,0.2542,0.2958,0.5,1.0,0.0,0.0,0.1208,1.0,0.5575
181,0.1562,0.324,1.0,0.4182,0.4183,0.5,1.0,0.0,0.0,0.324,1.0,0.5499
182,0.25,0.4878,1.0,0.5939,0.5732,0.625,1.0,0.0,0.0,0.4878,1.0,0.4824
183,0.125,0.07292,1.0,0.2615,0.393,0.625,1.0,0.0,0.0,0.07292,1.0,0.5316
184,0.2188,0.3167,1.0,0.4771,0.5128,0.5,1.0,0.0,0.0,0.3167,1.0,0.5069
185,0.5,0.6042,1.0,0.9021,0.6304,0.5,1.0,0.0,0.0,0.6042,1.0,0.5391
186,0.0,0.1583,1.0,0.1792,0.1292,0.75,1.0,0.0,0.0,0.1583,1.0,0.5258
187,0.2188,0.249,1.0,0.4432,0.5161,0.625,1.0,0.0,0.0,0.249,1.0,0.5172
188,0.1875,0.5052,0.9375,0.5339,0.5091,0.375,0.9375,0.0,0.0,0.5052,0.9375,0.2182
189,0.2812,0.3896,1.0,0.576,0.5813,0.375,1.0,0.0,0.0,0.3896,1.0,0.4517
190,0.25,0.3896,1.0,0.5448,0.4943,0.625,1.0,0.0,0.0,0.3896,1.0,0.4363
191,0.3438,0.199,1.0,0.5432,0.4901,0.25,1.0,0.0,0.0,0.199,1.0,0.4988
192,0.2188,0.1856,1.0,0.4115,0.4845,0.5,1.0,0.0,0.0,0.1856,1.0,0.3872
193,0.3438,0.3385,1.0,0.613,0.5544,0.5,1.0,0.0,0.0,0.3385,1.0,0.5514
194,0.3438,0.326,1.0,0.6068,0.5324,0.5,1.0,0.0,0.0,0.326,1.0,0.4858
195,0.2812,0.3531,1.0,0.5578,0.532,0.5,1.0,0.0,0.0,0.3531,1.0,0.4802
196,0.2812,0.2217,1.0,0.4921,0.6121,0.625,1.0,0.0,0.0,0.2217,1.0,0.51
197,0.3125,0.2844,1.0,0.5547,0.5322,0.375,1.0,0.0,0.0,0.2844,1.0,0.4938
198,0.2188,0.6083,1.0,0.6229,0.5008,0.5,1.0,0.0,0.0,0.6083,1.0,0.4585
199,0.2812,0.2396,1.0,0.501,0.5545,0.375,1.0,0.0,0.0,0.2396,1.0,0.4981
200,0.125,0.2885,1.0,0.3693,0.3705,0.25,1.0,0.0,0.0,0.2885,1.0,0.5109
201,0.4688,0.6615,1.0,0.8995,0.6705,0.75,1.0,0.0,0.0,0.6615,1.0,0.4958
202,0.25,0.1719,1.0,0.4359,0.4417,0.5,1.0,0.0,0.0,0.1719,1.0,0.5587
203,0.125,0.2397,1.0,0.3449,0.353,0.375,1.0,0.0,0.0,0.2397,1.0,0.4811
204,0.125,0.249,0.9688,0.3464,0.4014,0.5,0.9688,0.0,0.0,0.249,0.9688,0.5528
205,0.375,0.4042,1.0,0.6771,0.6386,0.625,1.0,0.0,0.0,0.4042,1.0,0.519
206,0.1562,0.5209,1.0,0.5167,0.4167,0.75,1.0,0.0,0.0,0.5209,1.0,0.6212
207,0.1562,0.2106,1.0,0.3615,0.4092,0.625,1.0,0.0,0.0,0.2106,1.0,0.5584
208,0.1562,0.01042,1.0,0.2615,0.362,0.875,1.0,0.0,0.0,0.01042,1.0,0.6475
209,0.3125,0.1656,1.0,0.4953,0.4719,0.375,1.0,0.0,0.0,0.1656,1.0,0.5759
210,0.09375,0.25,1.0,0.3188,0.3409,0.625,1.0,0.0,0.0,0.25,1.0,0.6445
211,0.125,0.1042,1.0,0.2771,0.3292,0.875,1.0,0.0,0.0,0.1042,1.0,0.6825
212,0.125,0.3927,1.0,0.4214,0.4792,0.75,1.0,0.0,0.0,0.3927,1.0,0.5566
213,0.3438,0.3802,1.0,0.6339,0.6023,0.5,1.0,0.0,0.0,0.3802,1.0,0.5849
214,0.1562,0.3757,1.0,0.4441,0.4819,0.5,1.0,0.0,0.0,0.3757,1.0,0.32
215,0.4688,0.3229,1.0,0.7302,0.5295,0.625,1.0,0.0,0.0,0.3229,1.0,0.6191
216,0.1562,0.3031,1.0,0.4078,0.4404,0.5,1.0,0.0,0.0,0.3031,1.0,0.5103
217,0.3125,0.524,1.0,0.6745,0.5737,0.625,1.0,0.0,0.0,0.524,1.0,0.5943
218,0.4062,0.3333,1.0,0.6729,0.5527,0.5,1.0,0.0,0.0,0.3333,1.0,0.5201
219,0.2812,0.3146,1.0,0.5385,0.5895,0.5,1.0,0.0,0.0,0.3146,1.0,0.5479
220,0.3125,0.3193,1.0,0.5722,0.5534,0.25,1.0,0.0,0.0,0.3193,1.0,0.4994
221,0.4375,0.4125,1.0,0.7438,0.675,0.75,1.0,0.0,0.0,0.4125,1.0,0.5748
222,0.25,0.5,1.0,0.6,0.5472,0.875,1.0,0.0,0.0,0.5,1.0,0.6125
223,0.2188,0.224,1.0,0.4307,0.5181,0.75,1.0,0.0,0.0,0.224,1.0,0.6866
224,0.1875,0.2958,1.0,0.4354,0.5497,0.75,1.0,0.0,0.0,0.2958,1.0,0.5321
225,0.25,0.3021,1.0,0.501,0.4928,0.75,1.0,0.0,0.0,0.3021,1.0,0.5975
226,0.3125,0.5406,1.0,0.6828,0.4645,0.375,1.0,0.0,0.0,0.5406,1.0,0.5547
227,0.09375,0.1979,1.0,0.2927,0.4387,0.5,1.0,0.0,0.0,0.1979,1.0,0.6384
228,0.4688,0.25,1.0,0.6938,0.5628,0.25,1.0,0.0,0.0,0.25,1.0,0.6448
229,0.125,0.3938,1.0,0.4219,0.4119,0.625,1.0,0.0,0.0,0.3938,1.0,0.5487
230,0.2188,0.1927,1.0,0.4151,0.5042,0.5,1.0,0.0,0.0,0.1927,1.0,0.6236
231,0.1875,0.3031,1.0,0.4391,0.4705,0.625,1.0,0.0,0.0,0.3031,1.0,0.5749
232,0.2812,0.3168,1.0,0.5397,0.5776,0.75,1.0,0.0,0.0,0.3168,1.0,0.5005
233,0.5312,0.4417,1.0,0.8521,0.6541,0.625,1.0,0.0,0.0,0.4417,1.0,0.5334
234,0.0,0.1667,1.0,0.1833,0.1443,1.0,1.0,0.0,0.0,0.1667,1.0,0.5775
235,0.5,0.4792,1.0,0.8396,0.603,1.0,1.0,0.0,0.0,0.4792,1.0,0.6329
236,0.4375,0.3698,1.0,0.7224,0.6031,0.75,1.0,0.0,0.0,0.3698,1.0,0.5491
237,0.25,0.302,1.0,0.501,0.5192,0.75,1.0,0.0,0.0,0.302,1.0,0.4812
238,0.2188,0.2052,1.0,0.4214,0.4402,0.625,1.0,0.0,0.0,0.2052,1.0,0.6198
239,0.125,0.3917,1.0,0.4208,0.4755,1.0,1.0,0.0,0.0,0.3917,1.0,0.5796
240,0.2812,0.4708,1.0,0.6167,0.5597,0.5,1.0,0.0,0.0,0.4708,1.0,0.6327
241,0.4062,0.3021,1.0,0.6573,0.582,0.5,1.0,0.0,0.0,0.3021,1.0,0.5566
242,0.09375,0.2042,1.0,0.2958,0.3586,0.625,1.0,0.0,0.0,0.2042,1.0,0.637
243,0.375,0.5177,1.0,0.7339,0.57,0.75,1.0,0.0,0.0,0.5177,1.0,0.6246
244,0.1562,0.4323,1.0,0.4724,0.4753,0.75,1.0,0.0,0.0,0.4323,1.0,0.5903
245,0.1875,0.2667,1.0,0.4208,0.5109,0.75,1.0,0.0,0.0,0.2667,1.0,0.5281
246,0.5,0.5521,1.0,0.876,0.6345,0.75,1.0,0.0,0.0,0.5521,1.0,0.5581
247,0.1875,0.375,1.0,0.475,0.5352,0.875,1.0,0.0,0.0,0.375,1.0,0.6397
248,0.3125,0.2,1.0,0.5125,0.564,0.625,1.0,0.0,0.0,0.2,1.0,0.5552
