step,answer,evidence,format,total,total_std,zero_std,finish,search,search_rate,ev_f1,ev_nz,kl
49,0.0,0.3159,0.9375,0.2517,0.1363,0.125,0.9375,0.7812,0.7812,0.3159,0.9688,0.003069
50,0.0625,0.5308,0.9688,0.4248,0.2969,0.125,0.9375,0.8125,0.8125,0.5308,0.9688,0.004652
51,0.0625,0.4204,0.9688,0.3696,0.2555,0.0,0.9688,0.9688,0.9688,0.4204,1.0,0.004056
52,0.03125,0.4708,1.0,0.3667,0.2384,0.125,1.0,0.875,0.875,0.4708,1.0,0.01062
53,0.0,0.3798,1.0,0.2899,0.1586,0.125,1.0,0.875,0.875,0.3798,1.0,0.01005
54,0.03125,0.5721,0.9688,0.4142,0.2245,0.25,0.9688,0.7812,0.7812,0.5721,1.0,0.005532
55,0.03125,0.4528,1.0,0.3577,0.2097,0.125,1.0,0.9688,0.9688,0.4528,1.0,0.005986
56,0.125,0.3208,0.9375,0.3792,0.3713,0.0,0.9375,0.4688,0.4688,0.3208,0.9375,0.007205
57,0.0,0.5012,0.9688,0.3475,0.1257,0.25,0.9688,1.031,1.0,0.5012,0.9688,0.006003
58,0.03125,0.4271,1.0,0.3448,0.2817,0.375,1.0,0.6875,0.6875,0.4271,1.0,0.01276
59,0.09375,0.4363,1.0,0.4119,0.3224,0.0,0.9375,0.9688,0.9688,0.4363,1.0,0.0137
60,0.03125,0.4402,0.9375,0.3451,0.2274,0.25,0.9375,0.875,0.875,0.4402,1.0,0.01185
61,0.0625,0.5589,0.9688,0.4388,0.2752,0.125,0.9688,0.9688,0.9688,0.5589,1.0,0.009049
62,0.03125,0.4304,1.0,0.3464,0.298,0.375,1.0,0.75,0.75,0.4304,1.0,0.009411
63,0.0,0.4587,0.9375,0.3231,0.1281,0.25,0.9062,1.0,1.0,0.4587,0.9688,0.02077
64,0.03125,0.5053,0.9375,0.3777,0.2248,0.25,0.9062,0.9375,0.9062,0.5053,0.9688,0.0124
65,0.0,0.3396,0.9375,0.2635,0.151,0.25,0.875,0.875,0.875,0.3396,1.0,0.01513
66,0.125,0.4437,0.9688,0.4438,0.4507,0.375,0.9375,0.9375,0.9375,0.4437,1.0,0.02866
67,0.03125,0.4677,0.9688,0.362,0.2657,0.375,0.9375,1.0,1.0,0.4677,1.0,0.02544
68,0.09375,0.4494,0.9375,0.4122,0.3267,0.125,0.875,0.9062,0.9062,0.4494,1.0,0.03118
69,0.03125,0.4229,1.0,0.3427,0.2217,0.5,0.875,1.0,1.0,0.4229,1.0,0.02492
70,0.03125,0.6521,1.0,0.4573,0.2358,0.375,0.9375,1.0,1.0,0.6521,1.0,0.04321
71,0.125,0.4676,0.875,0.4463,0.3637,0.0,0.875,1.0,1.0,0.4676,1.0,0.02673
72,0.09375,0.4885,1.0,0.438,0.3463,0.125,0.9688,0.9062,0.9062,0.4885,0.9688,0.02238
73,0.0625,0.5099,1.0,0.4174,0.2839,0.125,1.0,1.0,1.0,0.5099,1.0,0.02188
74,0.1875,0.575,0.9688,0.5719,0.4842,0.0,0.9688,1.0,1.0,0.575,1.0,0.02847
75,0.1875,0.4755,0.9375,0.519,0.4545,0.125,0.9375,0.9062,0.9062,0.4755,0.9062,0.01754
76,0.09375,0.4647,1.0,0.4261,0.3411,0.375,1.0,1.0,1.0,0.4647,1.0,0.02122
77,0.3125,0.5354,1.0,0.6802,0.509,0.125,1.0,1.0,1.0,0.5354,1.0,0.01684
78,0.2812,0.6146,1.0,0.6885,0.5086,0.375,1.0,1.0,1.0,0.6146,1.0,0.01381
79,0.3438,0.5831,1.0,0.7353,0.5398,0.25,1.0,1.0,1.0,0.5831,1.0,0.01752
80,0.2188,0.6615,0.9688,0.6464,0.4495,0.25,0.9688,0.9375,0.9375,0.6615,0.9688,0.01361
81,0.375,0.6257,1.0,0.7878,0.5388,0.25,1.0,1.0,1.0,0.6257,1.0,0.0159
82,0.1875,0.5156,1.0,0.5453,0.4324,0.0,1.0,1.0,1.0,0.5156,1.0,0.01736
83,0.2188,0.4635,1.0,0.5505,0.4364,0.0,1.0,1.0,1.0,0.4635,1.0,0.01352
84,0.5,0.6857,1.0,0.9429,0.5153,0.125,1.0,1.0,1.0,0.6857,1.0,0.01413
85,0.25,0.547,1.0,0.6235,0.4654,0.25,1.0,1.0,1.0,0.547,1.0,0.01487
86,0.1562,0.4083,1.0,0.4604,0.4541,0.375,0.9688,1.0,1.0,0.4083,1.0,0.01474
87,0.25,0.4156,1.0,0.5578,0.5555,0.375,1.0,0.9688,0.9688,0.4156,1.0,0.01418
88,0.625,0.5262,1.0,0.9881,0.5194,0.25,1.0,1.0,1.0,0.5262,1.0,0.01146
89,0.1875,0.5388,1.0,0.5569,0.4102,0.125,1.0,0.9688,0.9688,0.5388,0.9688,0.01466
90,0.09375,0.4062,1.0,0.3969,0.3974,0.75,1.0,1.0,1.0,0.4062,1.0,0.01203
91,0.4375,0.4401,1.0,0.7576,0.5785,0.25,1.0,1.0,1.0,0.4401,1.0,0.01325
92,0.4375,0.5615,1.0,0.8182,0.6229,0.625,1.0,1.0,1.0,0.5615,1.0,0.01237
93,0.5938,0.6687,1.0,1.028,0.4848,0.25,1.0,1.0,1.0,0.6687,1.0,0.01439
94,0.4375,0.4089,0.9375,0.7357,0.5332,0.125,0.9375,1.031,1.0,0.4089,0.9375,0.01258
95,0.5,0.5141,1.0,0.857,0.5618,0.25,1.0,1.0,1.0,0.5141,1.0,0.0126
96,0.4688,0.4806,1.0,0.8091,0.528,0.0,1.0,1.0,1.0,0.4806,1.0,0.01432
97,0.3125,0.5104,1.0,0.6677,0.5714,0.5,1.0,1.0,1.0,0.5104,1.0,0.01245
98,0.4062,0.5235,0.9688,0.7649,0.5599,0.0,0.9688,1.0,1.0,0.5235,0.9688,0.01248
99,0.3125,0.5835,1.0,0.7042,0.5134,0.125,1.0,1.0,1.0,0.5835,0.9688,0.0132
100,0.5938,0.5312,1.0,0.9594,0.4793,0.125,1.0,1.0,1.0,0.5312,1.0,0.01295
101,0.5625,0.6062,1.0,0.9656,0.5178,0.25,1.0,1.0,1.0,0.6062,1.0,0.01352
102,0.6562,0.4906,0.9688,0.9984,0.5726,0.25,0.9688,1.0,1.0,0.4906,1.0,0.01391
103,0.5938,0.725,1.0,1.056,0.5657,0.375,1.0,1.0,1.0,0.725,1.0,0.01306
104,0.4062,0.496,0.9375,0.748,0.5913,0.125,0.9375,1.0,1.0,0.496,0.9688,0.01477
105,0.3438,0.5064,1.0,0.6969,0.5814,0.25,1.0,1.0,1.0,0.5064,1.0,0.01341
106,0.4062,0.5068,1.0,0.7597,0.5475,0.25,1.0,1.0,1.0,0.5068,1.0,0.01148
107,0.3438,0.3167,0.9688,0.599,0.539,0.375,0.9688,1.0,1.0,0.3167,0.9688,0.01154
108,0.2188,0.4741,1.0,0.5558,0.4643,0.25,1.0,1.0,1.0,0.4741,1.0,0.01369
109,0.4062,0.4375,1.0,0.725,0.5557,0.25,1.0,1.0,1.0,0.4375,1.0,0.01346
110,0.4062,0.5985,1.0,0.8055,0.5788,0.375,1.0,1.0,1.0,0.5985,1.0,0.01314
111,0.4375,0.6167,1.0,0.8458,0.5807,0.375,1.0,1.0,1.0,0.6167,1.0,0.01351
112,0.2812,0.5885,1.0,0.6755,0.5155,0.375,1.0,1.0,1.0,0.5885,1.0,0.01214
113,0.4375,0.5439,1.0,0.8095,0.5115,0.125,1.0,1.0,1.0,0.5439,1.0,0.01381
114,0.1875,0.4208,1.0,0.4979,0.4098,0.125,1.0,1.0,1.0,0.4208,1.0,0.01212
115,0.3438,0.6115,1.0,0.7495,0.5662,0.25,1.0,1.0,1.0,0.6115,1.0,0.01367
116,0.3438,0.5875,1.0,0.7375,0.5832,0.5,1.0,1.0,1.0,0.5875,1.0,0.01358
117,0.5625,0.4615,1.0,0.8932,0.613,0.375,1.0,1.0,1.0,0.4615,1.0,0.01416
118,0.375,0.575,1.0,0.7625,0.437,0.375,1.0,1.0,1.0,0.575,1.0,0.0139
119,0.6875,0.4688,0.9688,1.019,0.572,0.125,0.9688,1.0,1.0,0.4688,0.9688,0.01268
120,0.3438,0.5531,1.0,0.7203,0.5091,0.5,1.0,1.0,1.0,0.5531,1.0,0.01265
121,0.625,0.5543,1.0,1.002,0.5541,0.125,1.0,1.0,1.0,0.5543,1.0,0.01313
122,0.375,0.687,1.0,0.8185,0.4846,0.375,1.0,1.0,1.0,0.687,1.0,0.01381
123,0.5312,0.551,1.0,0.9068,0.5505,0.25,1.0,1.0,1.0,0.551,1.0,0.01376
124,0.5,0.5906,1.0,0.8953,0.5947,0.0,1.0,1.0,1.0,0.5906,1.0,0.01278
125,0.25,0.3601,0.9688,0.5269,0.4314,0.125,0.9688,1.031,1.0,0.3601,0.9688,0.01144
126,0.5,0.5594,1.0,0.8797,0.5647,0.375,1.0,1.0,1.0,0.5594,1.0,0.01147
127,0.4375,0.6315,1.0,0.8533,0.5532,0.5,1.0,1.0,1.0,0.6315,1.0,0.01306
128,0.5625,0.6323,1.0,0.9786,0.6174,0.375,1.0,1.0,1.0,0.6323,1.0,0.01318
129,0.4375,0.5754,0.9688,0.8221,0.5812,0.375,0.9688,1.0,1.0,0.5754,0.9688,0.01273
130,0.4688,0.4406,1.0,0.7891,0.5914,0.75,1.0,1.0,1.0,0.4406,1.0,0.01483
131,0.4688,0.6583,1.0,0.8979,0.5243,0.0,1.0,1.0,1.0,0.6583,1.0,0.01341
132,0.6562,0.5454,1.0,1.029,0.5008,0.25,1.0,1.0,1.0,0.5454,1.0,0.01318
133,0.375,0.4885,1.0,0.7193,0.546,0.25,1.0,1.0,1.0,0.4885,1.0,0.01284
134,0.2812,0.5344,1.0,0.6484,0.4607,0.125,1.0,1.0,1.0,0.5344,1.0,0.01312
135,0.1875,0.4975,1.0,0.5362,0.4473,0.375,1.0,1.0,1.0,0.4975,1.0,0.0139
136,0.2812,0.2073,1.0,0.4849,0.4467,0.25,1.0,1.0,1.0,0.2073,1.0,0.01326
137,0.5625,0.6562,1.0,0.9906,0.6154,0.25,1.0,1.0,1.0,0.6562,1.0,0.01381
138,0.5312,0.4938,1.0,0.8781,0.5661,0.25,1.0,1.0,1.0,0.4938,1.0,0.01277
139,0.4062,0.6223,1.0,0.8174,0.6069,0.25,1.0,1.0,1.0,0.6223,1.0,0.01301
140,0.6875,0.6458,1.0,1.11,0.4942,0.5,1.0,1.0,1.0,0.6458,1.0,0.01249
141,0.5938,0.8344,1.0,1.111,0.5364,0.5,1.0,1.0,1.0,0.8344,1.0,0.01569
142,0.375,0.5441,1.0,0.747,0.5755,0.25,1.0,1.0,1.0,0.5441,1.0,0.01375
143,0.5,0.6406,1.0,0.9203,0.5916,0.375,1.0,1.0,1.0,0.6406,1.0,0.01237
144,0.375,0.3854,1.0,0.6677,0.5305,0.5,1.0,1.0,1.0,0.3854,1.0,0.01414
145,0.5,0.5052,1.0,0.8526,0.6498,0.375,1.0,1.0,1.0,0.5052,1.0,0.0138
146,0.5312,0.4688,1.0,0.8656,0.5588,0.25,1.0,1.0,1.0,0.4688,1.0,0.01371
147,0.4375,0.574,1.0,0.8245,0.5728,0.25,1.0,1.0,1.0,0.574,1.0,0.01404
148,0.4375,0.625,1.0,0.85,0.5484,0.375,1.0,1.0,1.0,0.625,1.0,0.01348
149,0.375,0.5938,1.0,0.7719,0.5559,0.375,1.0,1.0,1.0,0.5938,1.0,0.01407
150,0.4062,0.3771,1.0,0.6948,0.5488,0.375,1.0,1.0,1.0,0.3771,1.0,0.01471
151,0.6875,0.6687,1.0,1.122,0.605,0.5,1.0,1.0,1.0,0.6687,1.0,0.01381
152,0.625,0.6354,1.0,1.043,0.5175,0.375,1.0,1.0,1.0,0.6354,1.0,0.01668
153,0.5938,0.5531,1.0,0.9703,0.5684,0.5,1.0,1.0,1.0,0.5531,1.0,0.01207
154,0.5625,0.4656,1.0,0.8953,0.5756,0.5,1.0,1.0,1.0,0.4656,1.0,0.01432
155,0.3438,0.4815,1.0,0.6845,0.4996,0.0,1.0,1.0,1.0,0.4815,1.0,0.01536
156,0.625,0.4851,1.0,0.9676,0.562,0.25,1.0,1.0,1.0,0.4851,1.0,0.0128
157,0.6562,0.6885,1.0,1.101,0.4845,0.125,1.0,1.0,1.0,0.6885,1.0,0.01396
158,0.6562,0.7219,1.0,1.117,0.4741,0.0,1.0,1.0,1.0,0.7219,1.0,0.01317
159,0.4062,0.4444,1.0,0.7285,0.5068,0.25,1.0,1.0,1.0,0.4444,1.0,0.01158
160,0.4375,0.6728,1.0,0.8739,0.5411,0.375,1.0,1.0,1.0,0.6728,1.0,0.01478
161,0.5312,0.612,1.0,0.9372,0.5311,0.5,1.0,1.0,1.0,0.612,1.0,0.01387
162,0.375,0.6823,1.0,0.8161,0.5674,0.625,1.0,1.0,1.0,0.6823,0.9688,0.01577
163,0.5312,0.5115,1.0,0.887,0.5251,0.0,1.0,1.0,1.0,0.5115,1.0,0.01322
164,0.5312,0.6429,1.0,0.9527,0.532,0.5,1.0,1.0,1.0,0.6429,1.0,0.01247
165,0.7188,0.4869,1.0,1.062,0.5274,0.5,1.0,1.0,1.0,0.4869,0.9688,0.01576
166,0.5938,0.5126,1.0,0.9501,0.5868,0.5,1.0,1.0,1.0,0.5126,1.0,0.01252
167,0.75,0.5854,1.0,1.143,0.4814,0.375,1.0,1.0,1.0,0.5854,1.0,0.01382
168,0.625,0.5563,1.0,1.003,0.5532,0.375,1.0,1.0,1.0,0.5563,1.0,0.01257
169,0.6562,0.5094,1.0,1.011,0.5622,0.25,1.0,1.0,1.0,0.5094,1.0,0.01106
170,0.6875,0.6125,1.0,1.094,0.529,0.25,1.0,1.0,1.0,0.6125,1.0,0.01473
171,0.3438,0.5115,1.0,0.6995,0.4803,0.375,1.0,1.0,1.0,0.5115,1.0,0.01358
172,0.4688,0.7344,1.0,0.9359,0.5399,0.625,1.0,1.0,1.0,0.7344,1.0,0.01309
173,0.4062,0.5677,1.0,0.7901,0.4802,0.375,1.0,1.0,1.0,0.5677,1.0,0.01271
174,0.375,0.5479,1.0,0.749,0.6031,0.875,1.0,1.0,1.0,0.5479,1.0,0.01388
175,0.2188,0.4711,1.0,0.5543,0.5129,0.375,1.0,1.0,1.0,0.4711,1.0,0.01297
176,0.375,0.575,1.0,0.7625,0.6263,0.375,1.0,1.0,1.0,0.575,1.0,0.0148
177,0.5938,0.6856,0.9688,1.033,0.5345,0.5,0.9688,1.0,1.0,0.6856,0.9688,0.01329
178,0.4688,0.6,1.0,0.8688,0.5594,0.5,1.0,1.0,1.0,0.6,1.0,0.0135
179,0.5938,0.4356,1.0,0.9115,0.5596,0.25,1.0,1.0,1.0,0.4356,1.0,0.01362
180,0.4062,0.4189,1.0,0.7157,0.5203,0.375,1.0,1.0,1.0,0.4189,1.0,0.01265
181,0.375,0.5375,1.0,0.7438,0.6089,0.625,1.0,1.0,1.0,0.5375,1.0,0.01235
182,0.75,0.724,1.0,1.212,0.4383,0.5,1.0,1.0,1.0,0.724,1.0,0.0135
183,0.5312,0.5421,1.0,0.9023,0.5266,0.25,1.0,1.0,1.0,0.5421,1.0,0.01332
184,0.375,0.4854,1.0,0.7177,0.5711,0.375,1.0,1.0,1.0,0.4854,1.0,0.01522
185,0.7188,0.5885,1.0,1.113,0.5413,0.375,1.0,1.0,1.0,0.5885,1.0,0.01183
186,0.4375,0.6312,1.0,0.8531,0.4606,0.625,1.0,1.0,1.0,0.6312,1.0,0.01263
187,0.5312,0.6375,1.0,0.95,0.4664,0.25,1.0,1.0,1.0,0.6375,1.0,0.01413
188,0.5938,0.6354,1.0,1.011,0.5766,0.5,1.0,1.0,1.0,0.6354,1.0,0.01292
189,0.375,0.6625,1.0,0.8063,0.5767,0.25,1.0,1.0,1.0,0.6625,1.0,0.01271
190,0.5,0.4875,1.0,0.8438,0.6042,0.375,1.0,1.0,1.0,0.4875,1.0,0.01318
191,0.5,0.5,1.0,0.85,0.5724,0.375,1.0,1.0,1.0,0.5,1.0,0.01221
192,0.2812,0.4819,1.0,0.6222,0.4753,0.375,1.0,1.0,1.0,0.4819,1.0,0.01131
193,0.5625,0.4086,1.0,0.8668,0.5102,0.375,1.0,1.0,1.0,0.4086,1.0,0.01295
194,0.5625,0.5708,1.0,0.9479,0.5369,0.5,1.0,1.0,1.0,0.5708,1.0,0.01288
195,0.625,0.6719,1.0,1.061,0.5455,0.5,1.0,1.0,1.0,0.6719,1.0,0.01226
196,0.5625,0.5669,1.0,0.9459,0.548,0.375,1.0,1.0,1.0,0.5669,1.0,0.0135
197,0.5312,0.6802,1.0,0.9714,0.5739,0.375,1.0,1.0,1.0,0.6802,1.0,0.01482
198,0.625,0.6948,1.0,1.072,0.6574,0.625,1.0,1.0,1.0,0.6948,1.0,0.01315
199,0.3438,0.5437,1.0,0.7156,0.5611,0.625,1.0,1.0,1.0,0.5437,1.0,0.01399
200,0.625,0.5979,1.0,1.024,0.5048,0.25,1.0,1.0,1.0,0.5979,1.0,0.01263
201,0.6562,0.75,1.0,1.131,0.5754,0.5,1.0,1.0,1.0,0.75,1.0,0.01169
202,0.75,0.5854,1.0,1.143,0.4878,0.375,1.0,1.0,1.0,0.5854,1.0,0.01392
203,0.4688,0.3684,1.0,0.7529,0.5847,0.25,1.0,1.0,1.0,0.3684,1.0,0.01443
204,0.3125,0.4673,1.0,0.6461,0.527,0.25,1.0,1.0,1.0,0.4673,1.0,0.01307
205,0.4688,0.51,1.0,0.8237,0.5223,0.375,1.0,1.0,1.0,0.51,1.0,0.0135
206,0.4062,0.6533,1.0,0.8329,0.5486,0.5,1.0,1.0,1.0,0.6533,1.0,0.01422
207,0.5,0.575,1.0,0.8875,0.6246,0.625,1.0,1.0,1.0,0.575,1.0,0.01657
208,0.6875,0.5736,1.0,1.074,0.4335,0.375,1.0,1.0,1.0,0.5736,1.0,0.01596
209,0.5312,0.5,1.0,0.8812,0.5659,0.625,1.0,1.0,1.0,0.5,1.0,0.01678
210,0.5625,0.5938,1.0,0.9594,0.5346,0.375,1.0,1.0,1.0,0.5938,1.0,0.01524
211,0.3438,0.3609,1.0,0.6242,0.6015,0.375,1.0,1.0,1.0,0.3609,1.0,0.01619
212,0.3438,0.6813,1.0,0.7844,0.5536,0.5,1.0,1.0,1.0,0.6813,1.0,0.01304
213,0.6562,0.5482,1.0,1.03,0.5092,0.25,1.0,1.0,1.0,0.5482,1.0,0.01668
214,0.5938,0.6403,1.0,1.014,0.5759,0.375,1.0,1.0,1.0,0.6403,1.0,0.01541
215,0.4688,0.4375,0.9688,0.7844,0.6256,0.625,0.9688,1.0,1.0,0.4375,0.9688,0.01598
216,0.5312,0.5177,1.0,0.8901,0.494,0.375,1.0,1.0,1.0,0.5177,1.0,0.0157
217,0.3438,0.4604,1.0,0.674,0.5489,0.375,1.0,1.0,1.0,0.4604,1.0,0.01676
218,0.75,0.599,1.0,1.149,0.4736,0.5,1.0,1.0,1.0,0.599,1.0,0.0154
219,0.4375,0.6248,1.0,0.8499,0.6082,0.5,1.0,1.0,1.0,0.6248,1.0,0.01811
220,0.75,0.7115,1.0,1.206,0.4896,0.25,1.0,1.0,1.0,0.7115,1.0,0.01797
221,0.7188,0.6618,1.0,1.15,0.5235,0.375,1.0,1.0,1.0,0.6618,1.0,0.01755
222,0.4688,0.6583,1.0,0.8979,0.5016,0.5,1.0,1.0,1.0,0.6583,1.0,0.01561
223,0.5312,0.6844,1.0,0.9734,0.5246,0.5,1.0,1.0,1.0,0.6844,1.0,0.01582
224,0.5938,0.5385,1.0,0.963,0.5346,0.625,1.0,1.0,1.0,0.5385,1.0,0.01754
225,0.6562,0.5711,1.0,1.042,0.5231,0.125,1.0,1.0,1.0,0.5711,1.0,0.01772
226,0.5312,0.7417,1.0,1.002,0.5378,0.5,1.0,1.0,1.0,0.7417,1.0,0.01711
227,0.4062,0.4865,1.0,0.7495,0.558,0.25,1.0,1.0,1.0,0.4865,1.0,0.01487
228,0.625,0.5458,1.0,0.9979,0.5503,0.5,1.0,1.0,1.0,0.5458,1.0,0.01542
229,0.8125,0.7146,1.0,1.27,0.4283,0.375,1.0,1.0,1.0,0.7146,1.0,0.01696
230,0.5938,0.5344,1.0,0.9609,0.5625,0.5,1.0,1.0,1.0,0.5344,1.0,0.01708
231,0.3125,0.4156,1.0,0.6203,0.5562,0.625,1.0,1.0,1.0,0.4156,1.0,0.01652
232,0.5312,0.6975,1.0,0.98,0.525,0.5,1.0,1.0,1.0,0.6975,1.0,0.01691
233,0.6562,0.4177,1.0,0.9651,0.5181,0.25,1.0,1.0,1.0,0.4177,1.0,0.01817
234,0.2812,0.4938,1.0,0.6281,0.4998,0.375,1.0,1.0,1.0,0.4938,1.0,0.01656
235,0.5,0.4281,0.9688,0.8109,0.5959,0.375,0.9688,1.0,1.0,0.4281,1.0,0.01646
236,0.625,0.6859,1.0,1.068,0.5009,0.25,1.0,1.0,1.0,0.6859,1.0,0.01865
237,0.75,0.6174,1.0,1.159,0.5328,0.5,1.0,1.0,1.0,0.6174,1.0,0.01781
238,0.7812,0.7531,1.0,1.258,0.4579,0.375,1.0,1.0,1.0,0.7531,1.0,0.01583
239,0.4688,0.5323,1.0,0.8349,0.6078,0.375,1.0,1.0,1.0,0.5323,1.0,0.01725
240,0.5625,0.7243,1.0,1.025,0.6028,0.625,1.0,1.0,1.0,0.7243,1.0,0.01564
241,0.6562,0.4729,1.0,0.9927,0.5761,0.5,1.0,1.0,1.0,0.4729,1.0,0.01705
242,0.4062,0.585,1.0,0.7987,0.5583,0.5,1.0,1.0,1.0,0.585,1.0,0.01784
243,0.75,0.7156,1.0,1.208,0.4672,0.75,1.0,1.0,1.0,0.7156,1.0,0.01708
244,0.5,0.6281,1.0,0.9141,0.5104,0.375,1.0,1.0,1.0,0.6281,1.0,0.0175
245,0.6562,0.6835,1.0,1.098,0.4964,0.25,1.0,1.0,1.0,0.6835,1.0,0.01778
246,0.5312,0.7272,1.0,0.9949,0.5212,0.625,1.0,1.0,1.0,0.7272,1.0,0.01843
247,0.375,0.4792,1.0,0.7146,0.4771,0.25,1.0,1.0,1.0,0.4792,1.0,0.01744
